lane_from,lane_to,unique_vehicles,first_observation,last_observation,min_block,max_block,avg_block
1,2.0,55,15,2050,0,58,27.79238038984052
1,3.0,53,10,1980,0,38,16.71191489361702
2,1.0,41,15,2025,0,58,27.926353503184714
2,6.0,48,145,2010,0,48,21.221052631578946
3,1.0,52,45,1890,0,38,17.773062730627306
3,4.0,54,5,1980,0,38,16.30562347188264
3,12.0,73,15,1980,0,38,16.19550898203593
4,3.0,45,80,1900,0,38,16.21838521400778
4,5.0,65,25,1980,0,18,6.384261918437679
4,11.0,53,75,2115,0,58,24.528807140925075
5,4.0,53,30,1890,0,18,7.020139426800929
5,6.0,55,5,2025,0,38,15.864149474503698
5,9.0,48,45,1980,0,48,21.577981651376145
6,2.0,45,45,2070,0,48,22.9587852494577
6,5.0,53,30,1890,0,38,16.37739783152627
6,8.0,57,75,1935,0,18,5.943292682926829
7,8.0,47,65,1980,0,28,9.933368037480479
7,18.0,64,55,1880,0,18,6.738916256157635
8,6.0,61,10,1840,0,18,6.716677398583387
8,7.0,54,5,1940,0,28,12.7169373549884
8,9.0,61,45,2295,0,98,45.88478833927741
8,16.0,63,15,2115,0,48,19.589635113696456
9,5.0,47,65,1945,0,48,21.0399695470118
9,8.0,55,35,2385,0,98,44.57150016705646
9,10.0,47,5,1980,0,28,9.55533299949925
10,9.0,60,30,1935,0,28,11.463529411764705
10,11.0,60,15,2160,0,48,19.638185360423044
10,15.0,58,15,2115,0,58,25.053774299419338
10,16.0,128,30,1980,0,38,14.583025830258302
11,4.0,62,15,2070,0,58,26.801920161697826
11,10.0,63,25,2030,0,48,18.315945611866503
11,12.0,49,10,2025,0,58,26.19150265542018
11,14.0,53,60,1980,0,38,16.726149914821125
12,3.0,53,35,1945,0,38,16.31616119651018
12,11.0,37,5,2065,0,58,24.414577709217124
12,13.0,50,10,1935,0,28,12.946428571428571
13,12.0,49,25,1935,0,28,11.413654618473895
13,24.0,49,20,1985,0,38,16.245637583892616
14,11.0,47,5,2070,0,38,15.19502617801047
14,15.0,54,5,2160,0,48,19.479754601226993
14,23.0,55,90,1980,0,38,16.34121892542101
15,10.0,51,50,2080,0,58,23.9728021978022
15,14.0,48,10,2030,0,48,21.504
15,19.0,50,80,1980,0,28,11.673375503162736
15,22.0,46,15,1935,0,28,10.708715596330276
16,8.0,63,15,2070,0,48,19.57928118393235
16,10.0,109,95,2115,0,39,13.375201547887778
16,17.0,102,50,2160,0,19,6.575628763726532
16,18.0,54,30,1890,0,28,11.870059556036816
17,16.0,109,10,1875,0,18,5.987471892065532
17,19.0,45,20,1890,0,18,6.593830334190232
18,7.0,59,40,1890,0,18,8.290057518488085
18,16.0,45,15,2070,0,28,10.0
18,20.0,59,20,2115,0,38,14.607083194119612
19,15.0,45,5,2025,0,28,10.54849884526559
19,17.0,53,15,1935,0,18,6.605685131195335
19,20.0,46,5,1980,0,38,15.285201793721972
20,18.0,48,65,1935,0,38,16.54325581395349
20,19.0,49,15,1975,0,38,16.130164371390492
20,21.0,56,30,2115,0,58,26.432
20,22.0,45,40,1990,0,48,19.556541019955652
21,20.0,49,50,2025,0,58,25.131594724220623
21,22.0,43,30,1845,0,18,6.027049180327869
21,24.0,57,5,2025,0,28,11.705614567526556
22,15.0,73,70,2070,0,28,10.122267759562842
22,20.0,55,105,2070,0,48,19.653600729261623
22,21.0,46,20,1890,0,18,6.632377740303541
22,23.0,45,30,2025,0,38,15.992805755395683
23,14.0,49,40,2070,0,38,15.995154185022026
23,22.0,46,20,2070,0,38,14.635465865178189
23,24.0,44,55,1800,0,18,7.104815864022663
24,13.0,48,15,1980,0,38,17.94550958627649
24,21.0,55,10,1940,0,28,11.534090909090908
24,23.0,47,100,1935,0,18,6.614814814814815
